Data,Parameter,Amsterdam,Austin,Bielefeld,Bologna,Bonn,Leuven,London,New York,Reading,Southampton,Stockholm,Wuerzburg
Screen,Screen Model,,"24"" Dell U2417H","21.5"" Dell E2216H","22"" Samsung S22B350H","21.5"" Dell E2216H",19'' Dell P1911, HP 309E,"21.5"" Dell E2216H","22"" Iiyama ProLite B2206WS","22"" Iiyama Prolite B2280HS","24"" GN246HL","24"" Asus VG248QE"
Screen,Screen Size,,"(527.04, 296.46) mm","(476, 268) mm","(478, 268) mm","(476, 268) mm","(408.24, 255.15) mm","(530, 300) mm","(476, 268) mm","(473.8, 296.1) mm","(476.64, 268.11) mm","(565, 342.7) mm","(569.4, 499.9) mm"
Screen,Screen Resolution,,1920x1080 px,1920x1080 px,1920x1080 px,1920x1080 px,1440x900 px,1920x1080 px,1920x1080 px,1680x1050 px,1920x1080 px,1920x1080 px,1920x1080 px
Screen,Screen Refresh Rate,,60 Hz,56-76 Hz,60 Hz,56-76 Hz,60 Hz,1920x1080 px,56-76 Hz,59 Hz,60 Hz,60 Hz,144 Hz
SCR,Channel number in data file,2,3,1,1,1,1,1,1,1,1,1,1
SCR,Modality Name,EDA,EDA,EDA,EDA,EDA,EDA,EDA,EDA,EDA,EDA,EDA,EDA
SCR,units,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens,microsiemens
SCR,Sampling Rate,1000,200,1000,1000,2000,2000,1000,2000,1000,1000,2000,1000
SCR,Manufacturer,University of Amsterdam,Biopac Systems,Biopac Systems,Biopac Systems,Biopac Systems,Biopac Systems MP160,Custom-built (Cambridge Electronic Design),Biopac Systems,ADInstruments,Biopac Systems,Biopac Systems,Biopac Systems
SCR,Manufacturer Model,,MP160CE,MP160CE,EDA100C,MP160CE,EDA100D,,MP160CE,Powerlab 26T,EDA100C,EDA100C,EDA100C/MEC100C
SCR,Manufacturer Device Serial Number,,1703A-001AEF,1703A-001AEF,1703C0002627,1709a-0001C1F,2106000253,,1709a-0001C1F,,2206A-00026AB,B96041697,1711001172
SCR,EDA coupler voltage,,,0.5V,,,,,,"constant voltage excitation (22 mVrms, 75 Hz AC)",,0.5V,0.5V
SCR,EDA coupler type,,Solid Gel Electrodes,Constant Voltage DC,,,,Differential amplifier with fibre optic pulse output,,GSRAmp (serial number FE116-1288 ),,Constant Voltage DC,Constant Voltage DC
SCR,EDA Software Version,FysioRecorder (in-house software),Biopac AcqKnowledge 5.0.2,Biopac AcqKnowledge 5.0.2,Biopac AcqKnowledge 3.9.0,Biopac AcqKnowledge 5.0.1,Biopac AcqKnowledge 5.0.2,Spike2 v2,Biopac AcqKnowledge 5.0.1,LabChart 8.1.3,Biopac AcqKnowledge 5.0.2,Biopac AcqKnowledge 3.9.1,Biopac AcqKnowledge 5.0.2
SCR,Placement,Medial phalanx surfaces of the index and middle finger of the left hand,"Left palm, on side of hand furthest away from thumb",thenar and hypothenar eminences of the palmar surface,distal phalanges of the second and third finger,right forearm,left thenar and hypothenar eminences of the palmar surface (see image),thenar and hypothenar eminences of the palmar surface,right forearm,index and middle finger tips of the left hand,left index and middle distal phalanges,thenar/hypothenar,thenar and hypothenar eminences of the palmar surface
ECG,Channel number in data file,1,,,2,2,7,,,2,,2,2
ECG,Modality Name,ECG,,,ECG,ECG,ECG,,,ECG,,ECG,ECG
ECG,units,mV,,,mV,mV,mV,,,mV,,mV,mV
ECG,Sampling Rate,1000,,,1000,2000,2000,,,1000,,1000,1000
ECG,Manufacturer,University of Amsterdam,,,Biopac Systems,Biopac Systems,Biopac Systems MP160,,,ADInstruments,,Biopac Systems,Biopac Systems
ECG,Manufacturer Model,,,,ECG100C,ECG100C,ECG100D,,,Powerlab 26T,,ECG100C,ECG100C
ECG,Manufacturer Device Serial Number,,,,1701C0005083,1711008598,2108000298,,,Finger Pulse Transducer (piezo-electric),,B96041697,1711008598
ECG,Software Version,FysioRecorder (in-house software),,,Biopac AcqKnowledge 3.9.0,Biopac AcqKnowledge 5.0.2,Biopac AcqKnowledge 5.0.2,,,LabChart 8.1.3,,Biopac AcqKnowledge 3.9.1,Biopac AcqKnowledge 5.0.2
ECG,Placement,"Underneath left clavicle, as well as the left and right costal margin",,,"underneath the left clavicle, as well as the left and right costal margin","underneath the right clavicle, as well as the left and right costal margin","underneath the left clavicle, left mid-clavicular line below the breast, and below right ribs (see image)",,,Ring finger,,"RA, LA, aVF","underneath the right clavicle, as well as the left and right costal margin"
PPG,Channel number in data file,,,,,,,3,,,,,3
PPG,Modality Name,,,,,,,PPG,,3,,,PPG
PPG,units,,,,,,,V,,Stimulation,,,V
PPG,Sampling Rate,,,,,,,1000,,mV,,,1000
PPG,Manufacturer,,,,,,,Nonin,,1000,,,Biopac Systems
PPG,Manufacturer Model,,,,,,,Nonin 8600FO Pulse Oximeter,,ADInstruments,,,PPG100C
PPG,Manufacturer Device Serial Number,,,,,,,128400088,,Powerlab 26T,,,
PPG,Sensor Type,,,,,,,Optoelectronic Sensor,,,,,Optoelectronic Sensor
PPG,Software Version,,,,,,,Spike2 v2,,LabChart 8.1.3,,,Biopac AcqKnowledge 5.0.2
PPG,Placement,,,,,,,Index,,see below for US set-up,,,Index and Middlefinger
Eye,Eyetracker Sampling Rate,,,,,1000,,1000,,"1,000",,250,"1,000"
Eye,Eyetracker Manufacturer,,,,,SR-Research,,SR-Research,,SR-Research,,SMI iView Red250mobile 250 Hz,SR-Research
Eye,Eyetracker Manufacturer Model,,,,,EyeLink 1000,,EyeLink 1000,,EyeLink 1000,,SMI,EyeLink 1000
Eye,Eyetracker Manufacturer Device Serial Number,,,,,,,Serial10256,,,,,
Eye,Eyetracker Software Version,,,,,EyeLink 1000 Plus 5.15,,EyeLink 1000 ,,EyeLink 1000 Plus 5.15,,iView X Version: 4.4.0.0,EyeLink 1000 Plus 5.15
Eye,Pupil Measurement Type,,,,,Area,,Area,,Area,,Diameter,Area
Eye,"Eyetracker Eye-Screen Distance (X, Y, Z)",,,,,"(0, 0, 500) mm",,"(0, 0, 348) mm",,"(0, 0, 500) mm",,"(0, 0, 700) mm","(0, 0, 500) mm"
Eye,"Eyetracker Eye-Camera Distance (X, Y, Z)",,,,,"(0, 0, 550) mm",,"(0, 0, 398) mm",,"(0, 0, 550) mm",,"(0, 0, 700) mm","(0, 0, 550) mm"
US,US electrode location,forearm,forearm,forearm,wrist (median nerve),forearm,right inner wrist (see image),forearm,forearm,right wrist,left write,forearm,forearm
US,US electrode type,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,Disposable Pre-Gelled Surface Electrodes (15mm x 20mm),surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,Stimulating bar electrode (two 8mm stainless steel electrodes with right inner wrist (see image),WASP,EL503,Stimulating bar electrode,biopotenial (EL503 from biopac),surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 20 mm spacing,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing
US,US stimulator,"Digitimer DS7A, Digitimer, Welwyn Garden City, UK","BIOPAC Systems, STM200-1 ","BIOPAC Systems, STM200-1 ","Digitimer DS7A, Digitimer, Welwyn Garden City, UK","Digitimer 7A (Welwyn Garden City, UK)","Digitimer DS7A, Digitimer, Welwyn Garden City, UK","Digitimer DS7A, Digitimer, Welwyn Garden City, UK, serial number:  DS7A-1008-2006-M383","BIOPAC Systems, STM200-1 ",Inbuilt Isolated Stimulator in the 26T,"BIOPAC Systems, STM200-1 ",EL350,"Digitimer 7A (Welwyn Garden City, UK)"
RESP,Channel number in data file,,,,,3,,3,,,,,
RESP,Modality Name,,,,,RESP,,RESP,,,,,
RESP,units,,,,,mV,,mV,,,,,
RESP,Sampling Rate,,,,,2000,,2000,,,,,
RESP,Manufacturer,,,,,Biopac Systems,,,,,FIL,,
RESP,Manufacturer Model,,,,,ECG100C,,,,,Breathing Belt Transducer  (acquired using CED 1401 microcontroller),,
RESP,Manufacturer Device Serial Number,,,,,1711008598,,,,,,,
RESP,Software Version,,,,,Biopac AcqKnowledge 5.0.2,,Spike2 v2,,,,,
RESP,Placement,,,,,Chest,,Thorax,,,,,
RESP,Sensor Type,,,,,Belt,,Belt,,,,,